"","x"
"INDYWIDUALNI_2009","OSOBY BADANE KWESTIONARIUSZEM INDYWIDUALNYM DS 2009"
"INDYWIDUALNI_2011","OSOBY BADANE KWESTIONARIUSZEM INDYWIDUALNYM DS 2011"
"INDYWIDUALNI_2013","OSOBY BADANE KWESTIONARIUSZEM INDYWIDUALNYM DS 2013"
"INDYWIDUALNI_2015","OSOBY BADANE KWESTIONARIUSZEM INDYWIDUALNYM DS 2015"
"lata_nauki_2000","Liczba lat nauki w 2000"
"lata_nauki_2003","Liczba lat nauki w 2003"
"lata_nauki_2005","liczba lat nauki w 2005"
"lata_nauki_2007","Liczba lat nauki w 2007"
"lata_nauki_2009","Liczba lat nauki w 2009"
"lata_nauki_2011","Liczba lat nauki w 2011"
"lata_nauki_2013","Liczba lat nauki w 2013"
"lata_nauki_2015","Liczba lat nauki w 2015"
"poziom_wyksztalcenia_2000","Poziom ukończonego wykształcenia w 2000"
"poziom_wyksztalcenia_2003","Poziom ukończonego wykształcenia w 2033"
"poziom_wyksztalcenia_2005","Poziom ukończonego wykształcenia w 2005"
"poziom_wyksztalcenia_2007","Poziom ukończonego wykształcenia w 2007"
"poziom_wykształcenia_2009","Poziom ukończonego wykształcenia w 2009"
"poziom_wykształcenia_2011","Poziom ukonczonego wyksztalcenia w 2011"
"poziom_wykształcenia_2013","Poziom ukonczonego wyksztalcenia w 2013"
"poziom_wykształcenia_2015","Poziom ukonczonego wyksztalcenia w 2015"
"eduk4_2000","Poziom wykształcenia:4 kategorie 2000"
"eduk4_2003","Poziom wykształcenia:4 kategorie 2003"
"eduk4_2005","Poziom wykształcenia:4 kategorie 2005"
"eduk4_2007","Poziom wykształcenia:4 kategorie 2007"
"eduk4_2009","Poziom wykształcenia:4 kategorie 2009"
"eduk4_2011","Poziom wykształcenia:4 kategorie 2011"
"eduk4_2013","Poziom wykształcenia:4 kategorie 2013"
"eduk4_2015","Poziom wykształcenia:4 kategorie 2015"
"status9_2000","status społeczno-zawodowy 2000"
"status9_2003","status społeczno-zawodowy 2003"
"status9_2005","status społeczno-zawodowy 2005"
"status9_2007","status społeczno-zawodowy 2007"
"status9_2009","status społeczno-zawodowy 2009"
"status9_2011","status społeczno-zawodowy 2011"
"status9_2013","status społeczno-zawodowy 2013"
"status9_2015","status społeczno-zawodowy 2015"
"A_9GRUP_ZAWODOWYCH_AKTYWNI","9 GRUP ZAWODOWYCH OSÓB AKTYWNYCH ZAWODOWO 2000"
"A_9GRUP_ZAWODOWYCH_BIERNI","9 GRUP ZAWODOWYCH OSÓB BIRMYCH ZAWODOWO 2000"
"A_9GRUP_ZAWODOWYCH_OGOLEM","9 GRUP ZAWODOWYCH OSÓB AKTYWNYCH I BIRMYCH ZAWODOWO 2000"
"B_9GRUP_ZAWODOWYCH_AKTYWNI","9 GRUP ZAWODOWYCH OSÓB AKTYWNYCH ZAWODOWO 2003"
"B_9GRUP_ZAWODOWYCH_BIERNI","9 GRUP ZAWODOWYCH OSÓB BIRMYCH ZAWODOWO 2003"
"B_9GRUP_ZAWODOWYCH_OGOLEM","9 GRUP ZAWODOWYCH OSÓB AKTYWNYCH I BIRMYCH ZAWODOWO 2003"
"C_9GRUP_ZAWODOWYCH_AKTYWNI","9 GRUP ZAWODOWYCH OSÓB AKTYWNYCH ZAWODOWO 2005"
"C_9GRUP_ZAWODOWYCH_BIERNI","9 GRUP ZAWODOWYCH OSÓB BIRMYCH ZAWODOWO 2005"
"C_9GRUP_ZAWODOWYCH_OGOLEM","9 GRUP ZAWODOWYCH OSÓB AKTYWNYCH I BIRMYCH ZAWODOWO 2005"
"D_9GRUP_ZAWODOWYCH_AKTYWNI","9 GRUP ZAWODOWYCH OSÓB AKTYWNYCH ZAWODOWO 2007"
"D_9GRUP_ZAWODOWYCH_BIERNI","9 GRUP ZAWODOWYCH OSÓB BIRMYCH ZAWODOWO 2007"
"D_9GRUP_ZAWODOWYCH_OGOLEM","9 GRUP ZAWODOWYCH OSÓB AKTYWNYCH I BIRMYCH ZAWODOWO 2007"
"E_10GRUP_ZAWODOWYCH_AKTYWNI","10 GRUP ZAWODOWYCH OSÓB AKTYWNYCH ZAWODOWO 2009"
"E_10GRUP_ZAWODOWYCH_BIERNI","10 GRUP ZAWODOWYCH OSÓB BIRMYCH ZAWODOWO 2009"
"E_10GRUP_ZAWODOWYCH_OGOLEM","10 GRUP ZAWODOWYCH OSÓB AKTYWNYCH I BIRMYCH ZAWODOWO 2009"
"F_ZAWOD_AKTYWNI_SKR","SKRÓCONA KLASYFIKACJA ZAWODÓW AKTYWNYCH 2011"
"F_ZAWOD_BIERNI_SKR","SKRÓCONA KLASYFIKACJA ZAWODÓW BIERNYCH 2011"
"F_ZAWOD_OGOLEM_SKR","SKRÓCONA KLASYFIKACJA ZAWODÓW AKTYWNYCH I BIERNYCH 2011"
"F_10GRUP_ZAWODOWYCH_AKTYWNI","10 GRUP ZAWODOWYCH OSÓB AKTYWNYCH ZAWODOWO 2011"
"F_10GRUP_ZAWODOWYCH_BIERNI","10 GRUP ZAWODOWYCH OSÓB BIRMYCH ZAWODOWO 2011"
"F_10GRUP_ZAWODOWYCH_OGOLEM","10 GRUP ZAWODOWYCH OSÓB AKTYWNYCH I BIRMYCH ZAWODOWO 2011"
"G_ZAWOD_AKTYWNI_SKR","SKRÓCONA KLASYFIKACJA ZAWODÓW AKTYWNYCH 2013"
"G_ZAWOD_BIERNI_SKR","SKRÓCONA KLASYFIKACJA ZAWODÓW BIERNYCH 2013"
"G_ZAWOD_OGOLEM_SKR","SKRÓCONA KLASYFIKACJA ZAWODÓW AKTYWNYCH I BIERNYCH 2013"
"G_10GRUP_ZAWODOWYCH_AKTYWNI","10 GRUP ZAWODOWYCH OSÓB AKTYWNYCH ZAWODOWO 2013"
"G_10GRUP_ZAWODOWYCH_BIERNI","10 GRUP ZAWODOWYCH OSÓB BIRMYCH ZAWODOWO 2013"
"G_10GRUP_ZAWODOWYCH_OGOLEM","10 GRUP ZAWODOWYCH OSÓB AKTYWNYCH I BIRMYCH ZAWODOWO 2013"
"H_ZAWOD_AKTYWNI_SKR","SKRÓCONA KLASYFIKACJA ZAWODÓW AKTYWNYCH 2015"
"H_ZAWOD_BIERNI_SKR","SKRÓCONA KLASYFIKACJA ZAWODÓW BIERNYCH 2015"
"H_ZAWOD_OGOLEM_SKR","SKRÓCONA KLASYFIKACJA ZAWODÓW AKTYWNYCH I BIERNYCH 2015"
"H_10GRUP_ZAWODOWYCH_AKTYWNI","10 GRUP ZAWODOWYCH OSÓB AKTYWNYCH ZAWODOWO 20015"
"H_10GRUP_ZAWODOWYCH_BIERNI","10 GRUP ZAWODOWYCH OSÓB BIRMYCH ZAWODOWO 2015"
"H_10GRUP_ZAWODOWYCH_OGOLEM","10 GRUP ZAWODOWYCH OSÓB AKTYWNYCH I BIRMYCH ZAWODOWO 2015"
"ac3","Pokrewieństwo z głową gosp."
"ac4","Pokrewieństwa z głową rodziny"
"ac5","Numer rodziny (0-nierodziny)"
"ac8","Stan cywilny"
"ac11","Kierunek wykształcenia"
"ac12","Status edukacyjny"
"ac13","Rodzaj usługi edukacyjnej"
"ac14","Główne źrdło utrzymania"
"ac15","Dodatkowe źródło utrzymania"
"ac16","Inwalidztwo"
"ac17","Status obecności w gosp."
"ac18","Przyczyny nieobecności"
"ac23","Status podlegania"
"ac24","Rezultat wywiadu indyw."
"ad3","Status obecności"
"ad4","Czy w ost.7 dnach pracował lub pomagał"
"ad5","Czy w ost.7 dniach miał pracę lub miał pomagać"
"ad6","Ile godzin pracował w ost.7 dniach"
"ad7","Czy to praca w pełnym wymiarze"
"ad8","Czy poszukiwał pracy w ost.4 tygodniach"
"ad9","Dlaczego nie poszukuje pracy"
"ad10","Czy jest gotowa do pracy"
"ad11","Czy jest zarejestrowany w UP"
"ad12","Jak długo pozostaje bez pracy"
"ad13","Czy był w ost.5 latach zarejestrowany w UP"
"ad14","Ile razy był zarejestrowany w UP"
"ad15","Jak długo był bez pracy (w mies.)"
"ad16","Własność głownego miejsca pracy"
"ad17","Własność dodatkowego miejsca pracy"
"ad18","Zawód obecnie wykonywany"
"ad19","Zawód w ostatnim miejscu pracy"
"ap2_a","Najważniejszy warunek udanego, szczęśliwego życia"
"ap2_b","Najważniejszy warunek udanego, szczęśliwego życia"
"ap2_c","Najważniejszy warunek udanego, szczęśliwego życia"
"ap3","Jak ocenia Pan swoje dotychczasowe życie jako całość"
"ap4","Kiedy żyło sie łatwiej, przed 89 czy obecnie"
"ap5","Oczekiwania żony/męża były za duże"
"ap6","Żona/mąż wydawał wspólne pieniadze zbyt rozrzutnie"
"ap7","Problemy żony przysparzały zmartwień bardziej"
"ap8","Zastanawiał się, czy własne dzieci dadzą radę w życiu"
"ap9","Musiał wysłuchiwać skarg na swoje dzieci"
"ap10","Poniósł koszty w zwiazku z tym, co zrobiły dzieci"
"ap11","Dzieci lekceważyły pomoc, rady i wskazówki"
"ap12","Czuł, że traci wpływ na swoje dzieci"
"ap13","Problemy dzieci przysparzały zmartwień"
"ap14","Ktoś z krewnych w podeszłym wieku narzekał"
"ap15","Czuł się odpowiedzialny za zapewnienie opieki starszym krewn"
"ap16","Niepokoił sie stanem krewnego w podeszłym wieku"
"ap17","Problemy krewnych w podeszłym wieku przysparzały zmartwien"
"ap18","Czuł, że zródło dochodów jest niestałe i niepewne"
"ap19","Problemy finansowe przysparzały zmartwień"
"ap20","Czuł, że praca jest zbyt uciażliwa"
"ap21","Odczuwał nadmiar obowiazków w pracy"
"ap22","Był traktowany niesprawiedliwie w pracy"
"ap23","Problemy współpracowników przysparzały zmartwien"
"ap24","Odczuwał nadmierne zatłoczenie w miejscu zamieszkania"
"ap25","Obawiał sie przestepczosci w swojej dzielnicy"
"ap26","Niepokoił sie z powodu narkomani, pijanstwa w dzielnicy"
"ap27","Problemy sąsiadów z okolicy przysparzały zmartwienia"
"ap28","Odczuwał dolegliwosci fizyczne"
"ap29","Problemy ze zdrowiem utrudniały wykonywanie zajęć"
"ap30","Czy miał problemy zdrowotne i fizyczne"
"ap31","Czy załatwiał jakąś sprawę urzędową"
"ap32","Czy nie mógł sprawnie załatwic sprawy urzędowej"
"ap33","Czy musiał szukac znajomosci, aby załatwic sprawe urzędowa"
"ap34","Czy czuł się bezsilny przy załatwianiu sprawy urzędowej"
"ap35","Czy kontakty z urzędnikami utrudniały życie"
"ap36","Nie wiedział, gdzie sie zwrócić o pomoc lekarską"
"ap37","Nie miał zaufania do służby zdrowia"
"ap38","Czy zrezygnował z lekarza, bo byłoby to kłopotliwe"
"ap39","Czy musiał zrezygnować lekarza lub zabiegu z braku pieniędzy"
"ap40","Czy kontakty że służbą zdrowia denerwowały bardziej"
"ap41","Czy szkoła potrafi przygotować dzieci do życia"
"ap42","Czy bez znajomosci, pieniedzy dzieci nie uzyskaja wykształce"
"ap43","Czy własne kształcenie jest zagrożone przez reformę"
"ap44","Kontakty ze szkołą przysparzały zmartwien"
"ap45","Czy utrzymuje silne więzi z krewnymi"
"ap46","Jak ocenia poziom swego obecnego życia"
"ap47","W jakim stopniu poziom obecnego życia odpowiada"
"ap48","Jak oceniłby swoje życie w tych dniach"
"ap49","Porównać poziom zycia z wiekszością w tym samym wieku"
"ap50_1","Czy korzystał z placówek zdrowia Kasy"
"ap50_2","Czy korzystał z płatnych prywatnych placówek"
"ap50_3","Czy korzystal z placówek opłacanych przez pracodawcę"
"ap51","Czy poziom zycia odpowiada temu, na co zasługuje"
"ap52","Czy obecnie dostep do służby zdrowia jest łatwiejszy"
"ap53_1","Można zapisać sie z wyprzedzeniem"
"ap53_2","Można zapisać sie telefonicznie"
"ap53_3","Wizyty są na godzinę bez oczekiwania"
"ap53_4","Dogodniejsze, wydłużone godziny przyjeć"
"ap53_5","Można poradzić sie lekarza przez telefon"
"ap53_6","Lekarzom bardziej zależy na zatrzymaniu pacjentów"
"ap54","Czy lekarz PK wie o wszystkich badaniach i leczeniach"
"ap55","Czy zdarżyło sie, że wykupienie leku wymagało opłat"
"ap56","Czy jest zadowolony ze swego zycia"
"ap57","Czy w MINIONYM ROKU przeżył coś radosnego"
"ap58","Jak czesto zdarzało, że myslał o samobójstwie"
"ap59_a","Depresja A - Smutek"
"ap59_d","Depresja D - Zadowolenie z życia"
"ap59_g","Depresja G - Zadowolenie z siebie"
"ap59_m","Depresja M - Zdolność do podejmowania decyzji"
"ap59_n","Depresja N - Wyglad własny"
"ap59_o","Depresja O - Zapał do pracy"
"ap59_p","Depresja P - Sen"
"ap59_q","Depresja Q - Męczenie sie"
"ap59_r","Depresja R - Apetyt"
"ap59_t","Depresja T - Niepokój o zdrowie"
"ap59_u","Depresja U - Zainteresowanie seksem"
"ap60","Czy jest ktoś, komu może sie zwierzyć"
"ap61","Czy jest ktoś, świetnie rozumie"
"ap62","Czy jest ktoś, kto udzieli konkretnej pomocy"
"ap63","Czy czuje się Pan(i) kochan(y/a)"
"ap64","Czy czuje się Pan(i) osamotnion(y/a)"
"ap65","Ile osób zalicza do swoich przyjaciól"
"ap66_1","Zwracam sie o rade i pomoc do innych ludzi"
"ap66_2","Mobilizuję sie i przystepuję do działania"
"ap66_3","Siegam po alkohol"
"ap66_4","Pocieszam sie myślą, że mogło być gorzej"
"ap66_5","Poddaje sie, nie wiem co robić"
"ap66_6","Zażywam środki uspokajajace"
"ap66_7","Modlę sie o pomoc do Boga"
"ap66_8","Zajmuję się innymi rzeczami"
"ap67","Jakie wykształcenie miał OJCIEC"
"ap68","Jak silne jest pragnienie życia"
"ap69","Czy ma Pan jakieś konkretne plany na przyszłość"
"ap70","Czy w MINIONYM ROKU przeżył cos bolesnego"
"ap71","Jak żyję, zależy ode mnie"
"ap72","Jak żyję, zależy od innych ludzi"
"ap73","Jak żyję, zależy od władz"
"ap74","Jak żyję, zależy od losu"
"ap75","Czy miniony rok należał do udanych"
"ap76_1","Od władz zależy, czy rok udany"
"ap76_2","Ode mnie samego, czy rok udany"
"ap76_3","Od innych ludzi, czy rok udany"
"ap76_4","Od losu (opatrznosci), czy rok udany"
"ap77_1","Zadowolenie ze swoich stosunków z najblizszymi"
"ap77_2","Zadowolenie z sytuacji finansowej własnej rodziny"
"ap77_3","Zadowolenie że stosunków z kolegami"
"ap77_4","Zadowolenie z obecnych dochodów rodziny"
"ap77_5","Zadowolenie z zaspokojenia potrzeb żywnościowych"
"ap77_6","Zadowolenie z wyposażenia domu i posiadanych dóbr"
"ap77_7","Zadowolenie z możliwości zwiazanych z kultura"
"ap77_8","Zadowolenie z możliwości leczenia (leków)"
"ap77_9","Zadowolenie ze stanu swojego zdrowia"
"ap77_10","Zadowolenie ze swoich osiagniec zyciowych"
"ap77_11","Zadowolenie z sytuacji w kraju"
"ap77_12","Zadowolenie z warunków mieszkaniowych"
"ap77_13","Zadowolenie z miejscowosci"
"ap77_14","Zadowolenie z poziomu dostepnych dóbr i usług"
"ap77_15","Zadowolenie z perspektyw na przyszłość"
"ap77_16","Zadowolenie z życia seksualnego"
"ap77_17","Zadowolenie ze swego wykształcenia"
"ap77_18","Zadowolenie ze sposobu spedzania czasu"
"ap77_19","Zadowolenie z norm moralnych w otoczeniu"
"ap77_20","Zadowolenie z pracy"
"ap77_21","Zadowolenie z dzieci"
"ap77_22","Zadowolenie z małżeństwa"
"ap77_23","Zadowolenie z bezpieczenstwa w miejscu zam."
"ap78","Czy reformy w Polsce po 89 udały się"
"ap79","Cyzy zmiany od 89 miały wpływ na Pan(a/i) życie"
"ap80","Czy ten wpływ był korzystny"
"ap81","Jaki okres był w dorosłym życiu po wojnie najlepszy"
"ap82","Jak czesto w miesiącu bierze udział w nabożeństwach"
"ap83_1","Czy pali papierosy"
"ap83_2","Ile przeciętne papierosów dziennie wypala"
"ap83_3","Czy kiedykolwiek palił papierosy"
"ap84","Korzystałem z porad psychologa (psychiatry)"
"ap85","Piłem za dużo alkoholu"
"ap86","Próbowałem narkotyków"
"ap87","Zmarł ktoś bliski"
"ap88_1","Matka zmarła"
"ap88_2","Ojciec zmarł"
"ap88_3","Żona/mąż zmarł"
"ap88_4","Dziecko zmarło"
"ap88_5","Brat zmarł"
"ap88_6","Babcia lub dziadek zmarł"
"ap88_7","Przzyjaciel zmarł"
"ap88_8","Inna  bliska osoba zmarł"
"ap89","Nie mogłem znaleźć pracy po ukończeniu szkoły"
"ap90","Zostałem przeniesiony na gorsze stanowisko"
"ap91","Ominął mnie awans zawodowy"
"ap92","Awansowałem"
"ap93","Miałem poważne problemy z szefem"
"ap94","Otworzyłem własny interes, zalożyłem firmę"
"ap95","Na interesach straciłem dużo pieniędzy"
"ap96","Z konieczności podjąłem pracę niezgodną z kwalifikacjami"
"ap97","Okradziono mnie"
"ap98","Zostałem napadniety i pobity"
"ap99","Włamano sie do mojego domu"
"ap100","Oskarzono mnie o dokonanie czynu karalnego"
"ap101","Byłem zatrzymany przez policje w areszcie"
"ap102","Zostałem zaskarżony w sprawie cywilnej"
"ap103","Bliska osoba byla aresztowana lub miala problemy z prawem"
"ap104","Byłem dyskryminowany że wzgledu na narod.lub z inn.powodów"
"ap105","Mieszkanie (dom) zostało poważenie zniszczone"
"ap106","Przeprowadzony został remont mojego mieszkania (domu)"
"ap107","Miałem kłopoty z właścicielem lub zarządca budynku"
"ap108","Jak ocenia nowy podział administracyjny"
"ap109","Czy poświęca na załatwienie urzędowych spraw"
"ap110","Czy brał udział w ostatnich wyborach samorz."
"ap111","Czy władze gminy dobrze go reprezentuja"
"ap112","Czy wie, w jakim urzędzie może załatwić sprawy"
"ap113","Dlaczego nie wie, w jakim urzędzie moze załatwic"
"ap114_1","Wójt reprezentuje władzę samorzadowe"
"ap114_2","Wojewoda reprezentuje władze samorzadowe"
"ap114_3","Radny rady powiatu reprezentuje władze samorzadowe"
"ap114_4","Radny rady gminy reprezentuje władze samorzadowe"
"ap114_5","Urzędnik urzędu skarbowego reprezentuje władze samorzadowe"
"ap114_6","Policjant reprezentuje władze samorzadowe"
"ap114_7","Burmistrz reprezentuje władze samorzadowe"
"ap114_8","Starosta reprezentuje władze samorzadowe"
"ap114_9","Dyrektor szkoły reprezentuje władze samorzadowe"
"ap115","Czy władze Pana gminy współpracują z mieszkancami"
"ap116","Jak ocenia pracę władz gminy"
"ap117_1","Samorząd dba o najubozszych"
"ap117_2","Samorząd dba o bezpieczenstwo"
"ap117_3","Samorząd dba o jakość wody"
"ap117_4","Samorząd dba o drogi"
"ap117_5","Samorząd dba o szkolnictwo"
"ap117_6","Samorząd dba o opieke zdrowotna"
"ap117_7","Samorząd dba o czystość"
"ap117_8","Samorząd dba o rozwój gminy"
"ap118","Czy w tym roku angażował sie na rzecz społ.lokalnej"
"ap119","Jak ocenia system em-rent.w porównaniu ze starym"
"ap120","Czy wie Pan coś na temat reformy systemu em-rent."
"ap121_1","O syst.em-rent wie z programów radiowych"
"ap121_2","O syst.em-rent wie z programów telewizyjnych"
"ap121_3","O syst.em-rent wie z reklamy radiowej"
"ap121_4","O syst.em-rent wie z reklamy telewizyjnej"
"ap121_5","O syst.em-rent wie z prasy"
"ap121_6","O syst.em-rent wie że specjalistycznych publikacji"
"ap121_7","O syst.em-rent wie z rozmów ze znajomymi"
"ap121_8","O syst.em-rent wie od agenta ubezpieczeniowego"
"ap121_9","O syst.em-rent wie z innych zródeł"
"ap122_1","Czy ściśle uzależnia emeryturę od płaconych składek"
"ap122_2","Czy umożliwia decydowanie o oszczędzaniu na emeryturę"
"ap122_3","Czy daje poczucie bezpieczenstwa na przyszłość"
"ap122_4","Czy znosi monopol ZUS"
"ap122_5","Czy wprowadza instytucje pryw. do zarządzania pieniędzmi"
"ap122_6","Czy oddaje emerytury w rece zagranicznych towarzystw"
"ap122_7","Czy sprzyja tym, co dobrze zarabiaja kosztem biednych"
"ap122_8","Czy jest bardziej sprawiedliwy od starego"
"ap123","Jak przebiega wprowadzanie nowego systemu em-rent."
"ap124","Kto najbardziej skorzysta na zmianie systemu em-rent."
"ap125","Jak nowy system em-rent. zmieni życie przyszłych emerytów"
"ap126","Czy zamierza być w dodatkowym ubezp.emerytalnym"
"ap127","Czy w zakładzie jest/bedzie pracowniczy program emerytalny"
"ap128","Czy chciałby być w pracowniczym programie emerytalnym"
"ap129","Czy wybrał jakiś otwarty fundusz emerytalny"
"ap130","reklamą przy wyborze OFE"
"ap130_2","zaufaniem przy wyborze OFE"
"ap130_3","niskimi opłatami przy wyborze OFE"
"ap130_4","radą kogoś z rodziny przy wyborze OFE"
"ap130_5","sugestią pracodawcy przy wyborze OFE"
"ap130_6","informacjami akwizytora przy wyborze OFE"
"ap130_7","innymi względami przy wyborze OFE"
"bc3","Stopień pokrewieństwa z głową gospodarstwa"
"bc4","Numer rodziny"
"bc5","Stopień pokrewieństwa z głową rodziny"
"bc10","Stan cywilny"
"bc13","Kierunek ukończonego wykształcenia"
"bc14","Status edukacyjny"
"bc15","Rodzaj usługi edukacyjnej"
"bc16","Czy ma telefon komórkowy"
"bc17","Źródło utrzymania główne"
"bc18","Źródło utrzymania dodatkowe 1"
"bc19","Źródło utrzymania dodatkowe 2"
"bc20","Źródło utrzymania dodatkowe 3"
"bc21","Inwalidztwo"
